,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Designed Volume (acres^3),Current Volume Current (acres^3),Percent Available,Years until Fill,Years to Planned Closure,Difference in Years to fill and planned closure
2418,Augusta,VA,-79.055,38.0795,2048.0,Open,,106.8,50.0,50.0,14185868.0,4404654.0,139877.0,,0.122589312,,69.93,25.0,44.93000000000001
2419,Page,VA,-78.586,38.622,2057.0,Open,,21.7,,,4113193.0,1636542.0,81976.0,,,,30.21,34.0,-3.789999999999999
2420,Bedford,VA,-79.50416,37.3333,,Open,1.0,,,,,92664.0,5958.0,,,,,,
2423,Hampton city,VA,-76.42704,37.07201,2083.0,Open,281.0,146.6,,146.0,52449240.0,20438818.0,774591.0,,0.49135816447999997,,41.33,60.0,-18.67
2424,Botetourt,VA,-80.01,37.47,2025.0,Open,11.0,9.0,75.0,65.0,250000.0,200000.0,970.0,0.01893936,0.013429728,0.2909090909090909,51.55,2.0,49.55
2425,Brunswick,VA,-77.8035,36.745,2064.0,Open,250.0,125.0,,,19507269.0,15430080.0,430738.0,,,,9.47,41.0,-31.53
2428,Carroll,VA,-80.749,36.7595,2065.0,Open,,28.3,,,3885026.0,1357330.0,47695.0,,,,53.0,42.0,11.0
2430,Charles City,VA,-77.13331,37.43919,2059.0,Open,289.0,139.0,,95.0,45170371.0,19973229.0,616837.0,,0.303144544,,40.85,36.0,4.850000000000001
2437,Franklin,VA,-79.8626,36.927,2036.0,Open,95.0,24.0,,,2411119.0,1796834.0,55875.0,,,,10.99,13.0,-2.01
2438,Frederick,VA,-78.0988,39.1416,2045.0,Open,148.0,20.0,,,11322675.0,5062725.0,131442.0,,,,47.63,22.0,25.630000000000003
2440,Greensville,VA,-77.6,36.745,,Open,,,,,600000.0,169664.0,25374.0,,,,16.96,,
2445,King and Queen,VA,-76.77,37.665,2044.0,Open,269.0,160.0,,,62110631.0,21559888.0,821972.0,,,,49.33,21.0,28.33
2446,King George,VA,-77.30596,38.26964,2043.0,Open,,204.8,375.0,,55916748.0,34265014.0,1594445.0,,,,13.58,20.0,-6.42
2447,Spotsylvania,VA,-77.706,38.128,2044.0,Open,,42.8,130.0,85.0,6445553.0,2410421.0,162911.0,,0.08351683839999999,,24.77,21.0,3.7699999999999996
2448,Loudoun,VA,-77.5813,39.0421,2057.0,Open,88.0,77.9,,,9555176.0,3542376.0,172045.0,,,,34.95,34.0,0.9500000000000028
2449,Louisa,VA,-77.883777,37.989204,2048.0,Open,,,,,,,19646.0,,,,,25.0,
2450,Lunenburg,VA,-78.243,36.924,2026.0,Open,,54.0,,,3739625.0,1709821.0,291669.0,,,,6.96,3.0,3.96
2453,Amelia,VA,-78.0634,37.307,2092.0,Open,404.0,113.0,,,40655766.0,13370668.0,973587.0,,,,28.03,69.0,-40.97
2458,Gloucester,VA,-76.6201,37.5202,2068.0,Open,,102.3,,,38112240.0,12798269.0,502238.0,,,,50.4,45.0,5.399999999999999
2459,Pulaski,VA,-80.685,37.1975,2045.0,Open,350.0,37.0,100.0,,8423100.0,4005721.0,241696.0,0.803488,,,18.28,22.0,-3.719999999999999
2462,Nottoway,VA,-78.018805,37.113699,2027.0,Open,,,,,,,19253.0,,,,,4.0,
2463,Henrico,VA,-77.376,37.508,2037.0,Open,,114.2,,,34741581.0,22111736.0,666286.0,,,,18.96,14.0,4.960000000000001
2464,Orange,VA,-78.033871,38.245727,2050.0,Open,43.0,,,,1186928.0,1122668.0,27859.0,,,,2.31,27.0,-24.69
2466,Alleghany,VA,-80.0725,37.772,2052.0,Open,,,,,555106.0,67033.0,12851.0,,,,37.98,29.0,8.979999999999997
2467,Pittsylvania,VA,-79.4135,36.767,2029.0,Open,80.6,26.8,,,1878496.0,382496.0,42926.0,,,,34.85,6.0,28.85
2468,Prince Edward,VA,-78.488,37.285,,Open,,100.0,,40.0,902797.0,403085.0,28049.0,,0.0918272,,17.82,,
2469,Prince William,VA,-77.422,38.638,2036.0,Open,388.0,126.3,200.0,170.0,16641758.0,12014469.0,368505.0,1.78144768,0.4929054528,0.7233118556701031,12.56,13.0,-0.4399999999999995
2470,Campbell,VA,-79.152,37.278,2032.0,Open,55.0,28.4,,,4725359.0,2551448.0,204263.0,,,,10.64,9.0,1.6400000000000006
2473,Rockbridge,VA,-79.35802,37.76936,2056.0,Open,30.0,10.0,,,4020812.0,1523153.0,38381.0,,,,65.08,33.0,32.08
2474,Rockingham,VA,-78.8811,38.399,2056.0,Open,,54.6,,75.0,9327150.0,4010733.0,157546.0,,0.094008096,,33.75,33.0,0.75
2476,Shenandoah,VA,-78.5508,38.8433,2048.0,Open,,43.0,,100.0,3470810.0,1423192.0,45051.0,,0.09871424,,45.45,25.0,20.450000000000003
2477,Chesterfield,VA,-77.4956,37.3512,2070.0,Open,374.0,164.0,,,36774851.0,27975091.0,895911.0,,,,9.82,47.0,-37.18
2478,Roanoke,VA,-80.214,37.29,2036.0,Open,94.3,58.1,,100.0,8399842.0,4487323.0,237318.0,,0.133379008,,16.49,13.0,3.4899999999999984
2481,Suffolk city,VA,-76.522,36.759,2097.0,Open,185.0,,173.0,162.0,25522875.0,17627853.0,444357.0,0.734732384,,,17.77,74.0,-56.230000000000004
2482,Mecklenburg,VA,-78.44,36.725,2091.0,Open,,19.6,,,5379461.0,976708.0,83599.0,,,,52.67,68.0,-15.329999999999998
2483,Stafford,VA,-77.4125,38.385,2041.0,Open,29.0,29.0,136.0,110.0,9602775.0,4345450.0,236021.0,0.0905416192,0.073232192,0.19117647058823528,22.27,18.0,4.27
2484,Tazewell,VA,-81.444,37.185,2023.0,Open,,23.5,100.0,80.0,2296714.0,1559427.0,79014.0,,0.043158784,,9.33,0.0,9.33
2486,Virginia Beach city,VA,-76.205,36.785,2039.0,Open,232.0,119.0,100.0,,12166676.0,7500000.0,286000.0,0.53259776,,,16.32,16.0,0.3200000000000003
2488,St. Croix,VI,-64.778,17.706,,Open,,35.0,,81.0,2200000.0,2200000.0,100000.0,,0.065082528,,0.0,,
2495,Orleans,VT,-72.2215,44.908583,2042.0,Open,60.0,59.1,100.0,85.0,20371683.0,9716790.0,522012.0,0.1377408,0.1153234848,0.16274999999999995,20.41,19.0,1.4100000000000001
2500,Asotin,WA,-117.1097,46.38551,,Open,,12.0,,80.0,,848342.0,38561.0,,0.022038528,,,,
2501,Adams,WA,-118.3969,47.1346,,Open,,,,,,220609.0,11611.0,,,,,,
2504,King,WA,-122.06,47.442,2046.0,Open,920.0,430.9,200.0,200.0,66150000.0,43806272.0,877018.0,4.2240512,1.978417024,0.5316304347826086,25.48,23.0,2.4800000000000004
2507,Yakima,WA,-120.268898,46.478451,2040.0,Open,,40.0,,,8202600.0,2249539.0,99747.0,,,,59.68,17.0,42.68
2508,Cowlitz,WA,-122.778109,46.248725,2120.0,Open,308.0,,,,53367110.0,10398414.0,707006.0,,,,60.78,97.0,-36.22
2512,Grant,WA,-119.574,47.27,2034.0,Open,26.0,,,,4710806.0,2787559.0,126674.0,,,,15.18,11.0,4.18
2515,Douglas,WA,-120.1704,47.4042,2113.0,Open,148.4,56.4,,,37378587.0,6644627.0,287069.0,,,,107.06,90.0,17.060000000000002
2520,Benton,WA,-119.346,46.346,2095.0,Open,46.0,,,,10864122.0,2597697.0,74475.0,,,,111.0,72.0,39.0
2523,Pierce,WA,-122.2905,46.971,2032.0,Open,168.0,88.8,,,32251058.0,21588591.0,1288033.0,,,,8.28,9.0,-0.7200000000000006
2531,Okanogan,WA,-119.621,48.34,,Open,,,,,,700.0,175.0,,,,,,
2540,Klickitat,WA,-120.174,45.805,2085.0,Open,915.0,360.0,180.0,150.0,218761119.0,62944152.0,2393081.0,3.78098496,1.2396672,0.6721311475409837,65.11,62.0,3.1099999999999994
2541,Kittitas,WA,-120.213,46.965,,Open,,,,,,464000.0,14500.0,,,,,,
2545,Stevens,WA,-118.084789,48.580245,2058.0,Open,,,,,2403450.0,717814.0,,,,,,35.0,
2546,Walla Walla,WA,-118.41,46.075,,Open,,,,,2425098.0,2354940.0,60638.0,,,,1.16,,
2548,Yakima,WA,-120.4052,46.60617,2030.0,Open,,110.0,,,7171348.0,6966909.0,194704.0,,,,1.05,7.0,-5.95
2553,Adams,WI,-89.84648,44.02489,2041.0,Open,,,,,420000.0,280556.0,14409.0,,,,9.68,18.0,-8.32
2556,Wood,WI,-89.85482,44.40918,2029.0,Open,110.7,68.0,,75.0,14171801.0,8635063.0,198880.0,,0.11707968,,27.84,6.0,21.84
2558,Dane,WI,-89.254,43.045,2030.0,Open,76.0,76.0,90.0,70.0,7236832.0,6453440.0,273471.0,0.157024512,0.12213017600000001,0.2222222222222222,2.86,7.0,-4.140000000000001
2559,Jefferson,WI,-88.7566,43.0869,2034.0,Open,,86.0,,,11372426.0,8136919.0,269358.0,,,,12.01,11.0,1.0099999999999998
2562,Waukesha,WI,-88.0745,42.851,2035.0,Open,,80.8,,75.0,23508546.0,16573631.0,373703.0,,0.139118208,,18.56,12.0,6.559999999999999
2563,Dodge,WI,-88.555,43.465,2028.0,Open,127.0,125.9,,80.0,20676179.0,15883452.0,537270.0,,0.2312208896,,8.92,5.0,3.92
2566,Calumet,WI,-88.192,44.105,2029.0,Open,,57.0,,,21088169.0,14170182.0,426164.0,,,,16.23,6.0,10.23
2567,Vilas,WI,-89.415766,45.968199,,Open,,,,,,,24876.0,,,,,,
2570,Rock,WI,-89.0218,42.7046,2036.0,Open,,70.2,95.0,80.0,10181384.0,5431293.0,190533.0,,0.1289253888,,24.93,13.0,11.93
2571,Racine,WI,-87.8703,42.7074,2023.0,Open,,117.1,,,19515458.0,14470831.0,173105.0,,,,29.14,0.0,29.14
2573,La Crosse,WI,-91.157,43.878,2055.0,Open,51.0,26.0,100.0,50.0,4697532.0,2119995.0,59847.0,0.11707968,0.02984384,0.7450980392156863,43.07,32.0,11.07
2574,Washburn,WI,-91.831,45.689,2040.0,Open,,75.6,,,12433030.0,7254343.0,240485.0,,,,21.53,17.0,4.530000000000001
2575,Lincoln,WI,-89.6058,45.2852,2024.0,Open,,,,,495000.0,307370.0,41781.0,,,,4.49,1.0,3.49
2576,Walworth,WI,-88.7218,42.64412,2028.0,Open,140.0,112.0,,160.0,16253782.0,11691786.0,221247.0,,0.411385856,,20.62,5.0,15.620000000000001
2577,Marathon,WI,-89.384867,44.890439,2026.0,Open,,35.0,67.0,39.0,6578926.0,5566679.0,243595.0,,0.031336032,,4.16,3.0,1.1600000000000001
2578,Marinette,WI,-88.0897,45.24771,2023.0,Open,,,,,888000.0,420130.0,17872.0,,,,26.18,0.0,26.18
2580,Milwaukee,WI,-88.065,42.84951,2032.0,Open,,155.0,110.0,,36432221.0,26961850.0,726096.0,,,,13.04,9.0,4.039999999999999
2582,Douglas,WI,-91.9665,46.671,2026.0,Open,,31.1,,,,2828889.0,126600.0,,,,,3.0,
2585,Waukesha,WI,-88.0765,43.188,2027.0,Open,342.0,324.0,,95.0,,37590056.0,869059.0,,0.706610304,,,4.0,
2586,Outagamie,WI,-88.3487,44.2872,2023.0,Open,460.0,130.4,65.0,,,13681535.0,773008.0,0.68640832,,,,0.0,
2587,Kenosha,WI,-88.04383,42.58275,2065.0,Open,182.0,181.7,80.0,,30815795.0,22910047.0,207604.0,0.334251008,,,38.08,42.0,-3.9200000000000017
2592,Manitowoc,WI,-87.8418,44.1725,2039.0,Open,146.0,104.8,,88.0,22429043.0,15013659.0,418652.0,,0.21171679231999999,,17.71,16.0,1.7100000000000009
2594,Monroe,WI,-90.578,43.873,,Open,,5.0,,75.0,570600.0,244351.0,40206.0,,0.0086088,,8.11,,
2598,Eau Claire,WI,-91.3672,44.8375,2029.0,Open,80.0,55.0,,,17078157.0,10863408.0,324347.0,,,,19.16,6.0,13.16
2600,Rusk,WI,-91.35838,45.45417,2035.0,Open,,44.0,,,8675685.0,4610743.0,106967.0,,,,38.0,12.0,26.0
2603,Green Lake,WI,-88.90632,43.95983,2040.0,Open,,97.5,80.0,,15920266.0,11729510.0,239741.0,,,,17.48,17.0,0.4800000000000004
2605,Vernon,WI,-90.839915,43.59791,,Open,,,,,,,11893.0,,,,,,
2610,Brooke,WV,-80.57751,40.38123,2056.0,Open,180.0,,150.0,150.0,16758000.0,3199244.0,78772.0,0.6198336,,,172.13,33.0,139.13
2611,Kanawha,WV,-81.61854,38.31279,2027.0,Open,,80.8,,,6587686.0,5539030.0,195001.0,,,,5.38,4.0,1.38
2612,McDowell,WV,-81.6,37.48,2110.0,Open,,,,,,,26496.0,,,,,87.0,
2613,Putnam,WV,-82.019,38.405,2044.0,Open,84.7,42.2,,,8958480.0,4160764.0,96253.0,,,,49.84,21.0,28.840000000000003
2614,Randolph,WV,-79.98655,38.929,2056.0,Open,10.0,8.0,,,,,11088.0,,,,,33.0,
2615,Greenbrier,WV,-80.3793,37.8276,2041.0,Open,,140.0,100.0,100.0,4000000.0,780000.0,44460.0,,0.3213952,,72.42,18.0,54.42
2616,Monroe,WV,-80.76918,37.43632,2046.0,Open,,130.0,,,,,36912.0,,,,,23.0,
2617,Berkeley,WV,-77.98788,39.57302,2065.0,Open,67.0,35.8,,97.0,9176247.0,3290536.0,114985.0,,0.07971978368,,51.19,42.0,9.189999999999998
2618,Harrison,WV,-80.25694,39.33861,2091.0,Open,133.2,122.5,,200.0,29021293.0,8809835.0,452998.0,,0.5624416,,44.62,68.0,-23.380000000000003
2619,Mercer,WV,-81.12497,37.33199,2064.0,Open,,38.2,,90.0,3080385.0,2103196.0,30320.0,,0.07892547840000001,,32.23,41.0,-8.770000000000003
2620,Nicholas,WV,-80.71,38.3385,2036.0,Open,,,,,,,25200.0,,,,,13.0,
2621,Wood,WV,-81.49249,39.24923,2064.0,Open,,68.0,,200.0,17917952.0,8128087.0,200791.0,,0.31221248,,48.76,41.0,7.759999999999998
2623,Pocahontas,WV,-79.9365,38.279,,Open,12.0,1.0,,30.0,,,9240.0,,0.000688704,,,,
2624,Raleigh,WV,-81.1631,37.8167,2087.0,Open,279.0,88.0,,,10528395.0,4166452.0,150981.0,,,,42.14,64.0,-21.86
2626,Ohio,WV,-80.64112,40.14831,2053.0,Open,,78.4,,,17625462.0,7655976.0,298103.0,,,,33.44,30.0,3.4399999999999977
2627,Putnam,WV,-82.025,38.3995,2066.0,Open,,32.4,,118.0,9552554.0,4570156.0,82335.0,,0.08776843776,,60.51,43.0,17.509999999999998
2628,Tucker,WV,-79.47,39.142,,Open,79.0,54.0,,,2680000.0,2076056.0,87140.0,,,,6.93,,
2630,Wetzel,WV,-80.85639,39.60502,2045.0,Open,38.0,18.0,,70.0,3420000.0,1000000.0,60000.0,,0.028925568,,40.33,22.0,18.33
2631,Campbell,WY,-105.49038,44.39256,2052.0,Open,,37.8,,,4617270.0,1132693.0,46141.0,,,,75.52,29.0,46.519999999999996
2632,Natrona,WY,-106.283097,42.873192,2072.0,Open,,112.5,,,7383092.0,4516778.0,118813.0,,,,24.12,49.0,-24.88
2633,Laramie,WY,-105.005,41.135,2045.0,Open,,122.3,,,7827750.0,4271221.0,62997.0,,,,56.46,22.0,34.46
2634,Laramie,WY,-104.336488,41.230852,2146.0,Open,,,,,4313909.0,211813.0,9189.0,,,,446.41,123.0,323.41
2635,Sheridan,WY,-106.923406,44.804335,,Open,,8.9,,60.0,1160005.0,400637.0,38430.0,,0.0122589312,,19.76,,
